species,algorithm,seed,stage,best_mean_reward,best_mean_episode_length,last_mean_reward,last_mean_episode_length,mean_forward_vel,std_forward_vel,mean_distance_traveled,mean_success_rate,training_duration_seconds,reward_threshold,ep_length_threshold,forward_vel_threshold,success_rate_threshold,stage_passed
brachiosaurus,ppo,42,1,3002.52,1000.0,3010.63,1000.0,0.02,0.01,0.33,0.0,13602,100.0,750,,, True
brachiosaurus,ppo,42,2,4176.95,957.4,4158.53,938.7,1.12,0.06,11.07,0.0333,29931,100.0,750,0.75,,True
brachiosaurus,ppo,42,3,732.2,460.5,656.49,275.9,0.52,0.18,2.35,0.1667,14046,100.0,,, 0.5,False
