actuator_saturation.l_ankle_act,actuator_saturation.l_toe_act,actuator_saturation.r_ankle_act,actuator_saturation.r_toe_act,bilateral_windows,body_ground_contact,both_feet_sensed,case,digit_angles_deg.l_digits234_pitch,digit_angles_deg.l_digits2_pitch,digit_angles_deg.l_digits3_pitch,digit_angles_deg.l_digits4_pitch,digit_angles_deg.r_digits234_pitch,digit_angles_deg.r_digits2_pitch,digit_angles_deg.r_digits3_pitch,digit_angles_deg.r_digits4_pitch,digit_sensors_with_load,duration_s,final_drift_m,first_body_contact,first_body_contact.distance_m,first_body_contact.geom,first_body_contact.normal_force_N,first_body_contact.time_s,full_horizon,max_ground_force_N,max_self_contact_N,max_sensor_error_N,mechanism,obstacle_contact_samples,pad_load_fraction,peak_tilt_deg,pelvis_angular_velocity_rms,physics_bilateral,physics_bilateral_20pct_weight,physics_samples,physics_unsupported,positive_actuator_work_J,seed,sole_pitch_spectrum.peak_hz,sole_pitch_spectrum.power_above_10hz,sole_pitch_spectrum.rms,support_switches_per_s,termination,unsupported_windows
,,,,,True,True,l_outer_3mm,,,,,,,,,[],1.33,0.11847909284971647,,-0.0001397095455188714,tail_4_geom,12.071990795011125,1.330000000000001,False,,,0.0,baseline,143,,27.31988967882942,,,,0,,,4011,,,,,body_contact,
0.0,0.0,0.0,0.0,1.0,False,True,l_pad_3mm,,,,,,,,,[],20.0,0.0065086841285389935,,,,,,True,9.811919927581782,0.0,0.0,baseline,9994,0.6470384566898636,2.0448018494766336,0.0002707170900469446,1.0,1.0,8000,0.0,7.485269078505141e-05,4010,0.0625,2.336230394460947e-12,0.00014304131370775064,0.0,horizon,0.0
0.0,0.0,0.0,0.0,1.0,False,True,l_pad_3mm,,,,,,,,,[],20.0,0.0061816197282907725,,,,,,True,9.811587579550132,0.0,0.0,baseline,9994,0.6664736952565208,2.027356469543253,0.0002966819597853963,1.0,1.0,8000,0.0,5.781145358808537e-05,4011,0.0625,2.6885882996212444e-12,0.0001093290175828098,0.0,horizon,0.0
0.0,,0.0,,1.0,False,True,flat,,,,,,,,,[],20.0,0.0016390606140080865,,,,,,True,9.810098703104568,0.0,0.0,fixed,0,0.4398457593678371,0.6816936771758816,1.891303848135887e-05,1.0,1.0,8000,0.0,3.0469597988341616e-05,4010,0.0625,3.028924154206878e-06,7.590334122585347e-06,0.0,horizon,0.0
0.0,,0.0,,1.0,False,True,flat,,,,,,,,,[],20.0,0.001213396174751895,,,,,,True,9.81000399040536,0.0,0.0,fixed,0,0.43965943300141885,0.551899791700545,6.612320118475213e-06,1.0,1.0,8000,0.0,8.224460010756488e-06,4011,0.0625,2.0195461573452794e-12,9.275254808640886e-07,0.0,horizon,0.0
,,,,,True,True,r_middle_3mm,,,,,,,,,[],0.866,0.12192146511950938,,-0.001829041315530515,tail_4_geom,14.192899637688809,0.8660000000000007,False,,,0.0,fixed,91,,27.51269750984766,,,,0,,,4010,,,,,body_contact,
,,,,,True,True,r_middle_3mm,,,,,,,,,[],0.868,0.1209595030660139,,-0.0008808576501882354,tail_4_geom,13.378795167194966,0.8680000000000007,False,,,0.0,fixed,93,,27.408613691205403,,,,0,,,4011,,,,,body_contact,
,,,,,True,True,r_middle_6mm,,,,,,,,,[],0.742,0.11944777381631318,,-0.0010224793932510946,tail_4_geom,13.647895374964722,0.7420000000000005,False,,,0.0,fixed,112,,27.41802496252885,,,,0,,,4010,,,,,body_contact,
,,,,,True,True,r_middle_6mm,,,,,,,,,[],0.738,0.11954196824630235,,-0.0018155056880484327,tail_4_geom,14.327691229346744,0.7380000000000005,False,,,0.0,fixed,124,,27.50756717984264,,,,0,,,4011,,,,,body_contact,
0.0,,0.0,,1.0,False,True,r_outer_3mm,,,,,,,,,[],20.0,0.004120134639310019,,,,,,True,10.088446646435088,0.0,0.0,fixed,9026,0.44805801554647096,2.5326700185577202,0.0003811751779494269,1.0,1.0,8000,0.0,0.0003034421769410335,4010,0.0625,8.135996939068571e-07,0.00020756229397002056,0.0,horizon,0.0
